NR_TURNO,NM_MUNICIPIO,CD_CARGO_PERGUNTA,NM_VOTAVEL,QT_VOTOS
1,FORTALEZA,11,HEITOR FÉRRER,63199
1,FORTALEZA,11,SARTO,457622
1,FORTALEZA,11,PAULA COLARES,893
1,FORTALEZA,11,Nulo,92295
1,FORTALEZA,11,RENATO ROSENO,34346
1,FORTALEZA,11,CAPITÃO WAGNER,426803
1,FORTALEZA,11,Branco,50234
1,FORTALEZA,11,HEITOR FREIRE,21210
1,FORTALEZA,11,ANIZIO,2264
1,FORTALEZA,11,CELIO STUDART,45369
1,FORTALEZA,11,LUIZIANNE LINS,227470
1,FORTALEZA,11,SAMUEL BRAGA,1749
1,FORTALEZA,11,JOSÉ LOURETO,154
1,FORTALEZA,13,MÁRIO HÉLIO,3921
1,FORTALEZA,13,WANDER CORDEIRO,1173
1,FORTALEZA,13,CAPITÃO AMILTON GOMES,1271
1,FORTALEZA,13,JAIME CAVALCANTE,3904
1,FORTALEZA,13,MARIANA POSSES,766
1,FORTALEZA,13,JULIERME SENA,7145
1,FORTALEZA,13,CASQUEIRO,801
1,FORTALEZA,13,LOIRA DA ÓTICA,159
1,FORTALEZA,13,RENATO ALBUQUERQUE,279
1,FORTALEZA,13,PROFESSOR AIRTON OLIVEIRA,1866
1,FORTALEZA,13,CARLOS MESQUITA,8438
1,FORTALEZA,13,IRAGUASSU FILHO,8166
1,FORTALEZA,13,DR BRUNO BENEVIDES,2514
1,FORTALEZA,13,PROFESSOR ELÓI,4839
1,FORTALEZA,13,MARCELO MENDES,4440
1,FORTALEZA,13,EMANUELA SAMPAIO,632
1,FORTALEZA,13,MARCIO CAETANO,448
1,FORTALEZA,13,PAULO FACO,2045
1,FORTALEZA,13,PPCELL,7330
1,FORTALEZA,13,GUILHERME,5816
1,FORTALEZA,13,GABRIEL AGUIAR,9888
1,FORTALEZA,13,TOINHA ROCHA,3686
1,FORTALEZA,13,HEBERT LIMA,658
1,FORTALEZA,13,STELIO FROTA,2593
1,FORTALEZA,13,JUNINHO - JULIO AQUINO JR,3012
1,FORTALEZA,13,DIEGO CÂMARA,1506
1,FORTALEZA,13,ANNA KARINA,4834
1,FORTALEZA,13,ORIEL MOTA,498
1,FORTALEZA,13,REGINALDO CABEÇA,74
1,FORTALEZA,13,MÁRCIO MARTINS,6944
1,FORTALEZA,13,NEY GOMES,1120
1,FORTALEZA,13,RAPHAEL FONTENELE,341
1,FORTALEZA,13,SÁVIO LEITE,268
1,FORTALEZA,13,AILTON LOPES,7705
1,FORTALEZA,13,CAMPELO,768
1,FORTALEZA,13,CLÁUDIA GOMES,8625
1,FORTALEZA,13,DR LUCIANO GIRÃO,9857
1,FORTALEZA,13,CLAUDIO NELSON,1418
1,FORTALEZA,13,KÁTIA RODRIGUES,3711
1,FORTALEZA,13,PRAXEDES,377
1,FORTALEZA,13,BELMINO,1372
1,FORTALEZA,13,ÉRIKA CARVALHO,563
1,FORTALEZA,13,WANDER ALENCAR,4795
1,FORTALEZA,13,LEANDRO FILHO,3574
1,FORTALEZA,13,ANA ANGELICA,1697
1,FORTALEZA,13,JOSY KREISSL,134
1,FORTALEZA,13,DR PORTO - PORTINHO,5093
1,FORTALEZA,13,ATILA BEZERRA,1610
1,FORTALEZA,13,ADRIANO DO POVO,173
1,FORTALEZA,13,PLAUTO DE LIMA,1263
1,FORTALEZA,13,FELIPE BICHOMANIA,949
1,FORTALEZA,13,JEY,2762
1,FORTALEZA,13,SÉRGIO GONÇALVES,189
1,FORTALEZA,13,SUYNARA PINHEIRO,924
1,FORTALEZA,13,JOÃO PEDRO GURGEL,1872
1,FORTALEZA,13,MARCEL GIRÃO,5769
1,FORTALEZA,13,GILDO LUSTOSA,715
1,FORTALEZA,13,FERNANDA ROCHA,256
1,FORTALEZA,13,CLÁUDIO PINHEIRO,653
1,FORTALEZA,13,DR. ELPIDIO,9564
1,FORTALEZA,13,AMÉLIA BEZERRA,3484
1,FORTALEZA,13,IANNA BRANDÃO,3061
1,FORTALEZA,13,FLAVIO FEITOSA,1732
1,FORTALEZA,13,PROF FRED GASPAR FREDERICO,87
1,FORTALEZA,13,PROFESSOR EVALDO LIMA,5501
1,FORTALEZA,13,LHC LUIS HENRIQUE CINTRA,587
1,FORTALEZA,13,RONALDO MARTINS,31840
1,FORTALEZA,13,FERNANDO FF,2855
1,FORTALEZA,13,HÉLIO GÓIS,832
1,FORTALEZA,13,GERMANO TÁVORA,866
1,FORTALEZA,13,EUDES BRINGEL,5780
1,FORTALEZA,13,MANUELA PRAXEDES,408
1,FORTALEZA,13,PAULO CRUZ,1374
1,FORTALEZA,13,JANE MAIA,377
1,FORTALEZA,13,LUIZ SÉRGIO,5768
1,FORTALEZA,13,LARISSA GASPAR,8555
1,FORTALEZA,13,ITALO ALVES,3301
1,FORTALEZA,13,DANILO LOPES,3782
1,FORTALEZA,13,ROGÉRIO BABAU,3152
1,FORTALEZA,13,LEO COUTO,9426
1,FORTALEZA,13,ROBERT,1231
1,FORTALEZA,13,CÂNDIDO HENRIQUE,1480
1,FORTALEZA,13,DÉIA SILVA,74
1,FORTALEZA,13,Nulo,74004
1,FORTALEZA,13,NATÁLIA RIOS,3542
1,FORTALEZA,13,ESIO FEITOSA,4563
1,FORTALEZA,13,DANIELE PIMENTEL,821
1,FORTALEZA,13,ALEXSANDRA OLIVEIRA,522
1,FORTALEZA,13,RAFAEL MOTA,531
1,FORTALEZA,13,TATIANE SÁ,270
1,FORTALEZA,13,MARTA GONÇALVES,5408
1,FORTALEZA,13,FABIO BRAGA,4219
1,FORTALEZA,13,PRISCILA COSTA,14654
1,FORTALEZA,13,BENIGNO JUNIOR,6007
1,FORTALEZA,13,MARCOS LESSA,1629
1,FORTALEZA,13,PROFESSOR ACÁCIO,1226
1,FORTALEZA,13,RONYERE BARBOSA,2017
1,FORTALEZA,13,ADRIANA DO NOSSA CARA,9824
1,FORTALEZA,13,DUDU DIÓGENES,3018
1,FORTALEZA,13,EGBERTO FEITOSA,666
1,FORTALEZA,13,DISRAELLI BRASIL,3063
1,FORTALEZA,13,MARCIO LOPES,1697
1,FORTALEZA,13,PLÁCIDO,4553
1,FORTALEZA,13,JAMILE GUIMARÃES,913
1,FORTALEZA,13,DRA RUTHMAR XAVIER,1039
1,FORTALEZA,13,ODÉCIO CARNEIRO,2671
1,FORTALEZA,13,PERPETUA AGUIAR,519
1,FORTALEZA,13,JORGE PINHEIRO,8319
1,FORTALEZA,13,CELY DUARTE,2519
1,FORTALEZA,13,MARTÍR SILVA,1560
1,FORTALEZA,13,SARGENTO REGINAURO,5242
1,FORTALEZA,13,Branco,65491
1,FORTALEZA,13,JOAO MAGALHAES,1142
1,FORTALEZA,13,APOLLO VICZ,4348
1,FORTALEZA,13,JÚLIO CÉSAR FILHO,627
1,FORTALEZA,13,JOAQUIM ROCHA,7605
1,FORTALEZA,13,VERINHA,325
1,FORTALEZA,13,JONH MONTEIRO,6207
1,FORTALEZA,13,CARMELO NETO,8527
1,FORTALEZA,13,MARILIA DO POSTO,3445
1,FORTALEZA,13,RODRIGO MARINHO,8004
1,FORTALEZA,13,EMÍLIO RAMALHO,1434
1,FORTALEZA,13,SERGINHO BENEVIDES,303
1,FORTALEZA,13,CARLOS REBOUÇAS,358
1,FORTALEZA,13,GERSON SILVEIRA,408
1,FORTALEZA,13,NAUGUSTO FREIRE,781
